1029,1790,26948,22412
1025,1784,26869,22361
1028,1825,26986,22515
1022,1768,26726,22224
1038,1821,27226,22652
1037,1804,27050,22468
1025,1782,26866,22358
1029,1818,27043,22533
1023,1790,26722,22233
1044,1825,27350,22754
1026,1782,26898,22346
1037,1813,27184,22595
1043,1804,27321,22693
1034,1802,26893,22315
1030,1816,27057,22557
1026,1784,26831,22307
1031,1811,27034,22501
1025,1773,26878,22320
1037,1789,27144,22572
1040,1807,27217,22631
1025,1790,26887,22368
1032,1814,27042,22517
1037,1780,27047,22483
1025,1786,26776,22277
1038,1825,27283,22697
1030,1805,27011,22505
1025,1781,26842,22335
1027,1800,26914,22409
1021,1789,26707,22225
1026,1803,26948,22430
1022,1810,26891,22368
1038,1822,27228,22670
1043,1824,27367,22751
1031,1773,26938,22379
1040,1813,27207,22648
1024,1784,26828,22367
1027,1811,26994,22487
1028,1811,27008,22495
1025,1778,26868,22332
1026,1815,26947,22516
1036,1803,27105,22605
1026,1781,26879,22366
1027,1795,26943,22446
1026,1777,26864,22357
1026,1818,27063,22514
1023,1797,26731,22197
1026,1802,26925,22423
1025,1788,26870,22380
1025,1790,26853,22357
1027,1803,27045,22511
1026,1786,26837,22310
1031,1808,27088,22520
1025,1774,26852,22316
1026,1784,26895,22376
1027,1819,26981,22513
1026,1795,26847,22304
1025,1784,26906,22377
1027,1783,26935,22381
1026,1772,26906,22383
1031,1814,27139,22596
1023,1789,26752,22243
1030,1812,27027,22515
1027,1786,26906,22403
1026,1788,26893,22399
1028,1804,27024,22496
1023,1797,26781,22255
1041,1849,27371,22829
1031,1787,27011,22446
1038,1793,27007,22443
1027,1801,26958,22437
1017,1788,26521,22175
1025,1810,26912,22459
1025,1778,26859,22289
1041,1810,27233,22691
1039,1785,27117,22547
1029,1789,26875,22348
1033,1804,27078,22518
1017,1782,26549,22258
1016,1778,26528,22259
1037,1808,27184,22594
1040,1819,27064,22438
1026,1805,26947,22454
1025,1793,26845,22386
1025,1793,26903,22382
1028,1801,26997,22455
1022,1796,26694,22188
1031,1829,26929,22611
1024,1784,26696,22395
1026,1778,26681,22366
1020,1800,26653,22351
1022,1792,26728,22201
1040,1846,27317,22807
1024,1775,26574,22237
1025,1812,26751,22451
1029,1793,26887,22391
1024,1790,26850,22363
1016,1823,26653,22390
1019,1790,26618,22312
1023,1799,26791,22356
1026,1810,26965,22448
1028,1788,26920,22397
1026,1811,26951,22443
1035,1783,27083,22519
1040,1852,27328,22854
1017,1791,26561,22270
1030,1795,26989,22446
1024,1827,26857,22455
1026,1794,26887,22371
1025,1790,26853,22366
1016,1798,26561,22278
1034,1793,27009,22466
1028,1827,27062,22549
1025,1790,26857,22298
1026,1805,26944,22451
1025,1791,26835,22362
1025,1807,26877,22400
1030,1821,27084,22598
1026,1779,26853,22285
1027,1802,26946,22480
1021,1789,26713,22315
1027,1782,26916,22390
1028,1820,26999,22501
1029,1819,26878,22578
1043,1851,27411,22864
1037,1784,27054,22443
1028,1778,26855,22355
1019,1795,26586,22311
1014,1791,26411,22137
1024,1824,26772,22493
1018,1782,26513,22188
1031,1835,26939,22639
1030,1786,26810,22451
1014,1777,26419,22128
1030,1821,27073,22577
1026,1776,26809,22330
1028,1813,26977,22497
1023,1798,26794,22399
1014,1803,26400,22113
1035,1824,27148,22639
1022,1781,26560,22228
1019,1793,26603,22318
1026,1797,26903,22412
1019,1775,26525,22231
1025,1783,26829,22380
1030,1834,26954,22624
1045,1812,27324,22737
1039,1790,27145,22540
1024,1781,26772,22256
1033,1826,27115,22592
1018,1773,26744,22243
1027,1805,26817,22481
1039,1809,27115,22646
1025,1799,26823,22250
1038,1826,27230,22680
1036,1803,26963,22379
1027,1803,26983,22485
1024,1800,26848,22410
1016,1771,26537,22236
1029,1829,27035,22553
1026,1800,26823,22271
1025,1791,26915,22408
1029,1795,26984,22467
1016,1771,26482,22216
1024,1837,27008,22519
1024,1788,26764,22217
1027,1805,26975,22447
1029,1793,26964,22437
1015,1795,26505,22249
1020,1823,26671,22433
1023,1780,26815,22280
1027,1799,26946,22425
1024,1773,26887,22314
1034,1781,27116,22499
1027,1791,26742,22404
1024,1785,26791,22291
1024,1798,26821,22396
1031,1812,27082,22527
1021,1797,26818,22353
1030,1802,27074,22556
1022,1803,26741,22187
