2780,10000
728,1467,17165,13655
728,1468,17172,13668
727,1458,17134,13651
726,1464,17102,13619
729,1464,17210,13719
727,1463,17130,13636
729,1463,17194,13679
727,1464,17150,13681
726,1463,17087,13587
729,1459,17217,13738
729,1470,17189,13697
728,1471,17166,13691
729,1466,17187,13681
727,1466,17118,13594
738,1456,17474,13921
737,1476,17325,13774
728,1465,17159,13642
730,1465,17224,13744
728,1471,17149,13637
730,1466,17248,13726
726,1468,17119,13642
727,1465,17142,13649
741,1466,17509,13978
727,1460,17157,13680
730,1478,17204,13690
727,1472,17108,13606
728,1461,17148,13635
729,1446,17194,13703
727,1453,17114,13618
729,1457,17226,13745
723,1454,17041,13575
727,1449,17147,13652
727,1470,17170,13690
727,1473,17173,13677
732,1447,17325,13812
727,1466,17108,13604
728,1456,17160,13660
727,1463,17155,13663
729,1463,17178,13656
734,1455,17380,13849
740,1472,17437,13910
736,1469,17281,13739
727,1461,17158,13664
726,1465,17126,13649
728,1458,17169,13681
726,1451,17095,13619
730,1455,17252,13758
728,1467,17171,13661
739,1466,17427,13913
729,1464,17190,13688
725,1454,17058,13571
730,1456,17227,13725
728,1462,17164,13670
728,1465,17171,13658
729,1461,17222,13714
727,1471,17116,13624
728,1448,17189,13702
727,1469,17147,13652
728,1466,17157,13636
727,1460,17166,13664
727,1472,17127,13613
734,1458,17331,13814
740,1471,17463,13933
731,1480,17227,13729
737,1473,17325,13788
733,1470,17187,13667
732,1460,17297,13774
728,1466,17176,13674
728,1463,17172,13679
727,1447,17146,13653
725,1460,17062,13572
732,1447,17289,13769
732,1472,17226,13674
729,1459,17189,13680
729,1465,17206,13690
725,1451,17073,13586
728,1464,17196,13723
729,1472,17155,13631
728,1464,17189,13693
730,1459,17228,13711
729,1472,17177,13676
730,1460,17224,13715
729,1470,17144,13611
729,1456,17192,13711
728,1465,17152,13652
728,1473,17157,13654
729,1456,17234,13730
726,1468,17126,13612
728,1465,17171,13692
727,1450,17163,13675
727,1466,17135,13661
730,1458,17246,13749
726,1471,17105,13591
728,1459,17187,13685
728,1475,17188,13675
726,1469,17131,13646
728,1453,17204,13727
725,1460,17085,13607
728,1457,17140,13627
728,1465,17197,13675
726,1466,17111,13616
730,1447,17296,13805
726,1460,17097,13601
726,1460,17108,13643
727,1473,17157,13678
733,1468,17262,13701
728,1465,17169,13671
733,1464,17247,13733
741,1453,17493,13977
727,1473,17126,13624
727,1471,17140,13657
728,1474,17184,13682
727,1457,17112,13591
730,1451,17213,13677
728,1472,17180,13670
727,1463,17144,13641
727,1462,17164,13691
725,1472,17050,13567
730,1450,17252,13738
728,1476,17147,13623
730,1459,17206,13694
727,1465,17140,13656
727,1459,17099,13605
729,1452,17217,13731
727,1462,17130,13632
727,1470,17135,13666
727,1452,17161,13657
726,1460,17115,13611
728,1463,17199,13694
727,1459,17167,13669
726,1466,17141,13668
728,1444,17189,13703
729,1472,17181,13665
729,1465,17218,13710
728,1464,17188,13670
728,1468,17179,13698
728,1459,17170,13696
727,1453,17111,13598
732,1462,17308,13804
730,1467,17174,13639
726,1465,17131,13651
729,1445,17181,13692
727,1459,17143,13668
727,1456,17185,13720
728,1473,17134,13642
729,1462,17197,13708
729,1470,17210,13690
727,1471,17136,13654
730,1467,17259,13771
725,1477,17083,13590
726,1459,17107,13630
730,1454,17226,13723
732,1457,17223,13655
732,1458,17263,13743
729,1461,17199,13654
727,1466,17136,13647
727,1470,17136,13637
726,1456,17107,13629
729,1466,17272,13780
727,1466,17127,13612
728,1460,17154,13663
